date,symbol,open,high,low,close,volume,turnover,trades,source,source_priority,source_timestamp,raw_payload_hash,validation_status,validation_warnings,source_open,source_high,source_low,source_close,source_ohlc_invalid,ohlc_repaired,ohlc_invalid
2026-07-16,AEL.N0000,76.8,77.0,76.0,76.9,481526.0,36660600.3,81.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,76.8,77.0,76.0,76.9,False,False,False
2026-07-16,ACL.N0000,96.5,97.0,96.4,96.7,8940.0,864475.7,43.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,96.5,97.0,96.4,96.7,False,False,False
2026-07-16,APLA.N0000,143.0,143.0,141.0,142.0,3427.0,485756.25,30.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,143.0,143.0,141.0,142.0,False,False,False
2026-07-16,ACME.N0000,4.7,4.7,4.4,4.6,261726.0,1190714.7,112.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,4.7,4.7,4.4,4.6,False,False,False
2026-07-16,AGAL.N0000,53.3,53.3,52.0,53.2,150.0,7972.0,4.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,53.3,53.3,52.0,53.2,False,False,False
2026-07-16,AGST.N0000,11.6,11.6,11.0,11.2,176890.0,1974644.3,35.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,11.6,11.6,11.0,11.2,False,False,False
2026-07-16,AGST.X0000,11.2,11.4,11.2,11.4,1.0,11.2,1.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,11.2,11.2,11.2,11.4,True,True,False
2026-07-16,AHUN.N0000,91.2,91.2,89.5,90.0,655.0,58962.9,13.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,91.2,91.2,89.5,90.0,False,False,False
2026-07-16,SPEN.N0000,145.5,145.75,145.0,145.5,1061.0,154304.0,24.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,145.5,145.75,145.0,145.5,False,False,False
2026-07-16,ALLI.N0000,325.0,325.0,324.5,325.0,1592.0,517158.0,28.0,cse_trade_summary_current,10,2026-07-16,f1f0e42474727d4d50e27ec77b2b277cfc69e1f6292d4961d9e569317e1fa810,accepted,,325.0,325.0,324.5,325.0,False,False,False
