LIST OF QUOTED SECURITIES AND ISSUED QUANTITY AS AT 31ST DECEMBER 2010,,,,,
SECURITY ID,NAME,ISSUED QUANTITY,SECURITY ID,COMPANY NAME,ISIN CODE
AAIC-N-0000,ASIAN ALLIANCE INSURANCE PLC,25000000,AAIC-N-0000,ASIAN ALLIANCE INSURANCE PLC,LK0314N00001
ABAN-N-0000,ABANS ELECTRICALS PLC,4258800,AAIC-R-0000,ASIAN ALLIANCE INSURANCE PLC,LK0314R00002
ACAP-N-0000,ASIA CAPITAL PLC,110000000,ABAN-B-0000,ABANS ELECTRICALS PLC,LK0001B00009
ACL-N-0000,ACL CABLES PLC,59893680,ABAN-N-0000,ABANS ELECTRICALS PLC,LK0001N00004
ACME-N-0000,ACME PRINTING & PACKAGING PLC,25613280,ABAN-R-0000,ABANS ELECTRICALS PLC,LK0001R00005
AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,25000000,ACAP-B-0000,ASIA CAPITAL PLC,LK0224B00007
AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,221387650,ACAP-N-0000,ASIA CAPITAL PLC,LK0224N00002
AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,336290010,ACL -B-0000,ACL CABLES PLC,LK0011B00008
ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,1620000,ACL -N-0000,ACL CABLES PLC,LK0011N00003
ALUF-N-0000,ALUFAB PLC,4019400,ACME-N-0000,ACME PRINTING & PACKAGING PLC,LK0002N00002
AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,528457545,ACME-R-0000,ACME PRINTING & PACKAGING PLC,LK0002R00003
APLA-N-0000,ACL PLASTICS PLC,4212500,AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,LK0248N00001
ARPI-N-0000,ARPICO FINANCE COMPANY PLC,4462500,AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,LK0341N00004
ASCO-N-0000,ASCOT HOLDINGS PLC,7985505,AHUN-B-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003B00005
ASHA-N-0000,ASIRI CENTRAL HOSPITALS PLC,22333957,AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003N00000
ASHO-N-0000,LANKA ASHOK LEYLAND PLC,3620843,AHUN-R-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003R00001
ASIR-N-0000,ASIRI HOSPITAL HOLDINGS PLC,889263050,ALLI-B-0000,ALLIANCE FINANCE COMPANY PLC,LK0005B00000
ASPH-N-0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,666562,ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,LK0005N00005
ATL-N-0000,AMANA TAKAFUL PLC,500000360,ALUF-N-0000,ALUFAB PLC,LK0006N00003
