LIST OF QUOTED SECURITIES AND ISSUED QUANTITY AS AT 31ST DECEMBER 2018,,,
SECURITY ID,NAME                             ,ISSUED QUANTITY,ISIN CODE
AAF-N-0000,ASIA ASSET FINANCE PLC,839207833,LK0406N00005
AAIC-N-0000,SOFTLOGIC LIFE INSURANCE PLC,375000000,LK0314N00001
ABAN-N-0000,ABANS ELECTRICALS PLC,5110560,LK0001N00004
ABL-N-0000,AMANA BANK PLC,2501390534,LK0424N00008
ABNS/BD/26/12/19-C2286-9,ABANS PLC,7603500,LK0423D22864
ACAP-N-0000,ASIA CAPITAL PLC,131329995,LK0224N00002
ACL-N-0000,ACL CABLES PLC,119787360,LK0011N00003
ACME-N-0000,ACME PRINTING & PACKAGING PLC,41161913,LK0002N00002
AEL-N-0000,ACCESS ENGINEERING PLC,1000000000,LK0409N00009
AEL/BD/17/11/23-C2325-10,ACCESS ENGINEERING PLC,5400,LK0409D23259
AEL/BD/18/11/20-C2324-10,ACCESS ENGINEERING PLC,49984100,LK0409D23242
AEL/BD/18/11/21-C2326-10,ACCESS ENGINEERING PLC,10300,LK0409D23267
AEL/BD/18/11/22-C2327-10,ACCESS ENGINEERING PLC,200,LK0409D23275
AFSL-N-0000,ABANS FINANCE PLC,66561573,LK0388N00005
AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,25000000,LK0248N00001
AGST-N-0000,AGSTAR PLC,307526310,LK0408N00001
AGST-X-0000,AGSTAR PLC,17473690,LK0408X00000
AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,442775300,LK0341N00004
AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,336290010,LK0003N00000
AINS-N-0000,ARPICO INSURANCE PLC,66230407,LK0434N00007
AINV-N-0000,ADAM INVESTMENTS PLC,898552400,LK0428N00009
ALHP-N-0000,ANILANA HOTELS AND PROPERTIES PLC,1006752069,LK0422N00002
ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,33696000,LK0005N00005
ALLI/BD/29/12/19-C2287-9,ALLIANCE FINANCE COMPANY PLC,8000000,LK0005D22877
ALUF-N-0000,ALUFAB PLC,12058200,LK0006N00003
ALUM-N-0000,ALUMEX PLC,299302840,LK0427N00001
AMCL-N-0000,AMW CAPITAL LEASING AND FINANCE PLC,20000000,LK0384N00004
AMF-N-0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,5608355,LK0387N00007
AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,528457545,LK0344N00008
APLA-N-0000,ACL PLASTICS PLC,4212500,LK0238N00002
ARPI-N-0000,ARPICO FINANCE COMPANY PLC,7437500,LK0007N00001
ASCO-N-0000,LANKA REALTY INVESTMENTS PLC,44301443,LK0008N00009
ASHO-N-0000,LANKA ASHOK LEYLAND PLC,3620843,LK0109N00005
ASIR-N-0000,ASIRI HOSPITAL HOLDINGS PLC,1137533596,LK0010N00005
ASIY-N-0000,ASIA SIYAKA COMMODITIES LIMITED,260000000,LK0419N00008
ASPH-N-0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,666562,LK0089N00009
ASPM-N-0000,AITKEN SPENCE PLANTATION MANAGEMENT PLC,21300000,LK0421N00004
ATL-N-0000,AMANA TAKAFUL PLC,180000130,LK0354N00007
ATLL-N-0000,AMANA TAKAFUL LIFE PLC,50000000,LK0448N00007
AUTO-N-0000,THE AUTODROME PLC,12000000,LK0015N00004
BALA-N-0000,BALANGODA  PLANTATIONS  PLC,23636363,LK0286N00001
BBH-N-0000,BROWNS BEACH HOTELS PLC,129600000,LK0204N00004
BERU-N-0000,BERUWALA RESORTS PLC,600000000,LK0416N00004
BFL-N-0000,BAIRAHA FARMS PLC,16000000,LK0229N00001
BFN-N-0000,ORIENT FINANCE PLC,148018370,LK0391N00009
BIL-N-0000,BROWNS INVESTMENTS PLC,3720000000,LK0390N00001
BLI-N-0000,BIMPUTH FINANCE PLC,107733344,LK0383N00006
BLUE-N-0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,206601782,LK0193N00009
BLUE-X-0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,194633623,LK0193X00008
