LIST OF QUOTED SECURITIES AND ISSUED QUANTITY AS AT 31ST DECEMBER 2016,,,
SECURITY ID,NAME                             ,ISSUED QUANTITY,ISIN CODE
AAF-N-0000,ASIA ASSET FINANCE PLC,839207833,LK0406N00005
AAIC-N-0000,SOFTLOGIC LIFE INSURANCE PLC,375000000,LK0314N00001
ABAN-N-0000,ABANS ELECTRICALS PLC,5110560,LK0001N00004
ABL-N-0000,AMANA BANK PLC,1250695267,LK0424N00008
ABNS/BC/20/12/17B14.25,ABANS PLC,5412500,LK0423D21106
ABNS/BC/20/12/18C14.5,ABANS PLC,6146400,LK0423D21122
ABNS/BD/26/12/17-C2285-8,ABANS PLC,10646300,LK0423D22856
ABNS/BD/26/12/18-C2284-8,ABANS PLC,1750200,LK0423D22849
ABNS/BD/26/12/19-C2286-9,ABANS PLC,7603500,LK0423D22864
ACAP-N-0000,ASIA CAPITAL PLC,131329995,LK0224N00002
ACL-N-0000,ACL CABLES PLC,119787360,LK0011N00003
ACME-N-0000,ACME PRINTING & PACKAGING PLC,41161913,LK0002N00002
AEL-N-0000,ACCESS ENGINEERING PLC,1000000000,LK0409N00009
AEL/BD/17/11/23-C2325-10,ACCESS ENGINEERING PLC,5400,LK0409D23259
AEL/BD/18/11/20-C2324-10,ACCESS ENGINEERING PLC,49984100,LK0409D23242
AEL/BD/18/11/21-C2326-10,ACCESS ENGINEERING PLC,10300,LK0409D23267
AEL/BD/18/11/22-C2327-10,ACCESS ENGINEERING PLC,200,LK0409D23275
AFSL-N-0000,ABANS FINANCE PLC,55467978,LK0388N00005
AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,25000000,LK0248N00001
AGST-N-0000,AGSTAR PLC,307526310,LK0408N00001
AGST-X-0000,AGSTAR PLC,17473690,LK0408X00000
AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,442775300,LK0341N00004
AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,336290010,LK0003N00000
AINS-N-0000,ARPICO INSURANCE PLC,66230407,LK0434N00007
AINV-N-0000,ADAM INVESTMENTS PLC,898552400,LK0428N00009
ALHP-N-0000,ANILANA HOTELS AND PROPERTIES PLC,493308514,LK0422N00002
ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,33696000,LK0005N00005
ALLI/BC/01/07/17A20,ALLIANCE FINANCE COMPANY PLC,4300,LK0005D20541
ALLI/BC/01/08/17B20,ALLIANCE FINANCE COMPANY PLC,113800,LK0005D20558
ALLI/BC/02/09/17C20,ALLIANCE FINANCE COMPANY PLC,49800,LK0005D20574
ALLI/BC/30/09/17B16,ALLIANCE FINANCE COMPANY PLC,1682000,LK0005D20277
ALLI/BC/30/09/17D20,ALLIANCE FINANCE COMPANY PLC,1225400,LK0005D20590
ALLI/BC/30/09/1800D,ALLIANCE FINANCE COMPANY PLC,2772000,LK0005D20251
ALLI/BC/30/09/18C16.5,ALLIANCE FINANCE COMPANY PLC,3510000,LK0005D20301
ALLI/BC/30/11/17F20,ALLIANCE FINANCE COMPANY PLC,2854800,LK0005D20608
ALLI/BC/31/10/17E20,ALLIANCE FINANCE COMPANY PLC,3276600,LK0005D20566
ALLI/BD/29/12/18-C2288-9,ALLIANCE FINANCE COMPANY PLC,2000000,LK0005D22885
ALLI/BD/29/12/19-C2287-9,ALLIANCE FINANCE COMPANY PLC,8000000,LK0005D22877
ALUF-N-0000,ALUFAB PLC,12058200,LK0006N00003
ALUM-N-0000,ALUMEX PLC,299302840,LK0427N00001
AMCL-N-0000,AMW CAPITAL LEASING AND FINANCE PLC,20000000,LK0384N00004
AMF-N-0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,5608355,LK0387N00007
AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,528457545,LK0344N00008
APLA-N-0000,ACL PLASTICS PLC,4212500,LK0238N00002
ARPI-N-0000,ARPICO FINANCE COMPANY PLC,7437500,LK0007N00001
ARPI/BC/28/11/18A16.67,ARPICO FINANCE COMPANY PLC,3169700,LK0007D20786
ARPI/BC/28/11/18B16.75,ARPICO FINANCE COMPANY PLC,390100,LK0007D20802
