LIST OF QUOTED SECURITIES AND ISSUED QUANTITY AS AT 31ST DECEMBER 2013,,,,,
SECURITY ID,NAME                               ,ISSUED QUANTITY,SECURITY ID,COMPANY NAME,ISIN CODE
AAF-N-0000,ASIA ASSET FINANCE PLC,559471889,AAF -N-0000,ASIA ASSET FINANCE PLC,LK0406N00005
AAIC-N-0000,ASIAN ALLIANCE INSURANCE PLC,37500000,AAIC-N-0000,ASIAN ALLIANCE INSURANCE PLC,LK0314N00001
ABAN-N-0000,ABANS ELECTRICALS PLC,5110560,AAIC-R-0000,ASIAN ALLIANCE INSURANCE PLC,LK0314R00002
ACAP-N-0000,ASIA CAPITAL PLC,110000000,ABAN-B-0000,ABANS ELECTRICALS PLC,LK0001B00009
ACL-N-0000,ACL CABLES PLC,59893680,ABAN-N-0000,ABANS ELECTRICALS PLC,LK0001N00004
ACME-N-0000,ACME PRINTING & PACKAGING PLC,25613280,ABAN-R-0000,ABANS ELECTRICALS PLC,LK0001R00005
AEL-N-0000,ACCESS ENGINEERING PLC,1000000000,ACAP-B-0000,ASIA CAPITAL PLC,LK0224B00007
AFSL-N-0000,ABANS FINANCE PLC,37000000,ACAP-N-0000,ASIA CAPITAL PLC,LK0224N00002
AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,25000000,ACL -B-0000,ACL CABLES PLC,LK0011B00008
AGST-N-0000,AGSTAR FERTILIZERS PLC,307526310,ACL -N-0000,ACL CABLES PLC,LK0011N00003
AGST-X-0000,AGSTAR FERTILIZERS PLC,17473690,ACME-N-0000,ACME PRINTING & PACKAGING PLC,LK0002N00002
AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,442775300,ACME-R-0000,ACME PRINTING & PACKAGING PLC,LK0002R00003
AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,336290010,AEL -N-0000,ACCESS ENGINEERING PLC,LK0409N00009
ALHP-N-0000,ANILANA HOTELS AND PROPERTIES LIMITED,383684400,AFSL-N-0000,ABANS FINANCE PLC,LK0388N00005
ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,2430000,AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,LK0248N00001
ALLI/BC/01/07/15G18.5,ALLIANCE FINANCE COMPANY PLC,500,AGST-N-0000,AGSTAR FERTILIZERS PLC,LK0408N00001
ALLI/BC/01/07/17A20,ALLIANCE FINANCE COMPANY PLC,4300,AGST-X-0000,AGSTAR FERTILIZERS PLC,LK0408X00000
ALLI/BC/01/08/15H18.5,ALLIANCE FINANCE COMPANY PLC,7900,AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,LK0341N00004
ALLI/BC/01/08/16M16.89,ALLIANCE FINANCE COMPANY PLC,100,AHUN-B-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003B00005
ALLI/BC/01/08/17B20,ALLIANCE FINANCE COMPANY PLC,113800,AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003N00000
ALLI/BC/02/09/15I18.5,ALLIANCE FINANCE COMPANY PLC,1009500,AHUN-R-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003R00001
ALLI/BC/02/09/17C20,ALLIANCE FINANCE COMPANY PLC,49800,ALHP-N-0000,ANILANA HOTELS AND PROPERTIES LIMITED,LK0422N00002
ALLI/BC/30/09/15J18.5,ALLIANCE FINANCE COMPANY PLC,2700,ALLI-B-0000,ALLIANCE FINANCE COMPANY PLC,LK0005B00000
ALLI/BC/30/09/16A15.5,ALLIANCE FINANCE COMPANY PLC,4036000,ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,LK0005N00005
ALLI/BC/30/09/17B16,ALLIANCE FINANCE COMPANY PLC,1682000,ALUF-N-0000,ALUFAB PLC,LK0006N00003
ALLI/BC/30/09/17D20,ALLIANCE FINANCE COMPANY PLC,1225400,ALUF-R-0000,ALUFAB PLC,LK0006R00004
ALLI/BC/30/09/1800D,ALLIANCE FINANCE COMPANY PLC,2772000,AMCL-N-0000,AMW CAPITAL LEASING AND FINANCE PLC,LK0384N00004
ALLI/BC/30/09/18C16.5,ALLIANCE FINANCE COMPANY PLC,3510000,AMF -N-0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,LK0387N00007
ALLI/BC/30/11/15L18.5,ALLIANCE FINANCE COMPANY PLC,52300,AMSL-B-0000,ASIRI SURGICAL HOSPITAL PLC,LK0344B00003
ALLI/BC/30/11/17F20,ALLIANCE FINANCE COMPANY PLC,2854800,AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,LK0344N00008
ALLI/BC/31/10/15K18.5,ALLIANCE FINANCE COMPANY PLC,1402300,AMSL-R-0000,ASIRI SURGICAL HOSPITAL PLC,LK0344R00009
ALLI/BC/31/10/17E20,ALLIANCE FINANCE COMPANY PLC,3276600,APLA-N-0000,ACL PLASTICS PLC,LK0238N00002
ALUF-N-0000,ALUFAB PLC,12058200,ARPI-B-0000,ARPICO FINANCE COMPANY PLC,LK0007B00006
